from_chars (int64),	stoll (int64),	stringstream (int64),	sscanf (int64),	strtoll (int64),	from_chars (double),	stoll (double),	stringstream (double),	sscanf (double),	strtoll (double)
15,	132,	429,	191,	53,	195,	288,	459,	347,	196
17,	132,	427,	184,	53,	169,	289,	454,	351,	196
15,	132,	419,	185,	52,	194,	289,	454,	353,	198
16,	132,	432,	185,	53,	166,	287,	456,	347,	199
15,	130,	422,	188,	54,	192,	289,	531,	349,	196
15,	138,	414,	189,	53,	169,	290,	456,	344,	197
14,	133,	414,	185,	57,	169,	289,	459,	346,	198
15,	130,	452,	188,	55,	170,	286,	453,	350,	196
14,	132,	420,	193,	52,	169,	291,	456,	356,	200
15,	146,	423,	195,	54,	209,	308,	450,	350,	197
